sku,active,marketplace_id,amazon_marketplace_id,fba_offers,mf_offers,fba_buy_box_eligible,mf_buy_box_eligible,lowest_landed_fba,lowest_landed_mf,buy_box_a_landed,buy_box_b_landed,current_quantity,cost,min_price,auto_min_price,max_price,auto_max_price,manual_price,current_price,current_shipping,fulfillment_type,currency,map_price,asin,condition,featured,has_buy_box,is_buy_box_winner,offer_position,display_group_rank,note
GSNW-UTWA9C,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,11,15,11,9,35.99,33.0,33.0,42.53,9,16.5,,31.52,,,,35.99,0.0,fba,USD,,B00IJFI3ZC,new_new,True,True,False,4,35475,
PQDF-DQU8Y0,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,14,15,9,11,25.0,25.0,25.0,25.99,4,12.69,,24.23,,,,25.99,0.0,fba,USD,,B079J267D9,new_new,True,True,False,3,30535,
OPEF-0JCUDS,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,21,11,0,0,21.37,21.18,,,20,9.8,,,,,,27.66,0.0,fba,USD,,B00F2P3P5U,new_new,False,False,False,0,44372,
LMIU-7O7ZE2,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,25,4,19,1,20.85,27.08,20.85,,15,14.62,,25.22,,,,25.37,0.0,fba,USD,,B09D4WGB1R,new_new,True,True,False,10,19576,
IDSW-P3H5OJ,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,8,0,0,17.99,18.04,17.99,,40,8.08,,17.27,,,,17.99,0.0,fba,USD,,B084JL2R77,new_new,True,True,True,2,36197,
FIOC-HZGTP5,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,15,6,0,0,50.69,50.89,50.89,,15,27.64,,45.51,,,,50.89,0.0,fba,USD,,B01M8O211W,new_new,True,True,False,3,114226,
DSDF-FF7WQM,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,3,12,2,27.75,28.98,27.75,,10,14.28,,27.06,,,,27.75,0.0,fba,USD,,B01I5Y3Q62,new_new,True,True,False,2,46266,
W3-5T61-R6MH,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,4,0,0,23.99,24.59,24.0,,20,9.76,,22.06,,,,23.99,0.0,fba,USD,,B09SJ1L8BL,new_new,True,True,False,0,87695,
CGV-A1654,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,67,28,14,6,18.06,19.87,18.07,19.55,5,16.4,,26.85,,,,27.08,0.0,fba,USD,,B0CCPFN1HT,new_new,False,True,False,0,92693,
1BKH-KLZB-ZYJ9,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,4,0,0,13.9,13.87,13.9,,14,4.86,,12.33,,,,13.9,0.0,fba,USD,,B004O8KA8G,new_new,True,True,False,3,27834,
